Rank,Name,Position,Team,Tier,a,b,c,d,e,f,g
1,David Johnson ARI,RB,ARI,1,8,1,2,1.1,0.4,1,0
2,Le'Veon Bell PIT,RB,PIT,1,9,1,2,1.9,0.4,2,0
3,Antonio Brown PIT,WR,PIT,1,9,3,7,3.2,0.7,3,0
4,Julio Jones ATL,WR,ATL,1,5,3,13,5.1,1.9,4,0
5,LeSean McCoy BUF,RB,BUF,1,6,3,13,6.2,2.5,6,1
6,Odell Beckham Jr. NYG,WR,NYG,1,8,4,17,6.3,2.2,5,-1
7,Melvin Gordon LAC,RB,LAC,2,9,3,15,8.4,2.6,9,2
8,A.J. Green CIN,WR,CIN,1,6,4,14,9,2.3,8,0
9,Mike Evans TB,WR,TB,1,11,4,14,9,2.7,7,-2
10,Devonta Freeman ATL,RB,ATL,2,5,5,22,9.6,3,10,0
11,Jordy Nelson GB,WR,GB,2,8,6,16,11,2.8,11,0
12,Jay Ajayi MIA,RB,MIA,2,11,4,19,11.9,2.9,15,3
13,DeMarco Murray TEN,RB,TEN,2,8,8,32,13.4,3.9,13,0
14,Jordan Howard CHI,RB,CHI,2,9,7,30,15.9,5.4,14,0
15,Michael Thomas NO,WR,NO,2,5,6,151,17,21.3,12,-3
16,Dez Bryant DAL,WR,DAL,2,6,11,34,18.5,3.9,16,0
17,Todd Gurley LAR,RB,LAR,2,8,9,40,19.6,5.7,19,2
18,Doug Baldwin SEA,WR,SEA,2,6,10,45,20.1,5.2,22,4
19,Amari Cooper OAK,WR,OAK,2,10,13,36,21,4.6,18,-1
20,Brandin Cooks NE,WR,NE,2,9,12,64,22.5,9.4,21,1
21,Rob Gronkowski NE,TE,NE,1,9,15,55,23.3,6.5,20,-1
22,T.Y. Hilton IND,WR,IND,3,11,15,46,23.4,7,23,1
23,Ezekiel Elliott DAL,RB,DAL,3,6,10,68,27.2,13.8,17,-6
24,Leonard Fournette JAC,RB,JAC,3,8,14,51,27.6,8.4,25,1
25,Isaiah Crowell CLE,RB,CLE,3,9,12,56,27.6,8,34,9
26,DeAndre Hopkins HOU,WR,HOU,3,7,16,44,28.1,6.1,27,1
27,Demaryius Thomas DEN,WR,DEN,3,5,20,59,28.5,7.2,28,1
28,Kareem Hunt KC,RB,KC,3,10,11,116,34.2,18,44,16
29,Lamar Miller HOU,RB,HOU,3,7,20,70,34.3,10.7,29,0
30,Dalvin Cook MIN,RB,MIN,3,9,14,98,34.4,15.5,33,3
31,Alshon Jeffery PHI,WR,PHI,3,10,20,54,34.9,7.3,37,6
32,Marshawn Lynch OAK,RB,OAK,3,10,20,90,36.8,14.1,36,4
33,Travis Kelce KC,TE,KC,2,10,22,58,37.2,6.9,35,2
34,Carlos Hyde SF,RB,SF,3,11,15,60,37.4,9.9,43,9
35,Allen Robinson JAC,WR,JAC,3,8,22,70,37.5,9.8,46,11
36,Terrelle Pryor WAS,WR,WAS,3,5,23,72,37.8,10.6,32,-4
37,Keenan Allen LAC,WR,LAC,3,9,20,73,38.2,10,31,-6
38,Aaron Rodgers GB,QB,GB,1,8,26,191,38.5,24.5,24,-14
39,Christian McCaffrey CAR,RB,CAR,3,11,19,95,39.4,15.4,26,-13
40,Davante Adams GB,WR,GB,3,8,21,68,40.7,11.2,38,-2
41,Michael Crabtree OAK,WR,OAK,3,10,26,73,40.8,8.9,39,-2
42,Tom Brady NE,QB,NE,1,9,31,195,42.7,24.7,30,-12
43,Golden Tate DET,WR,DET,4,7,28,75,45.5,8.7,47,4
44,Larry Fitzgerald ARI,WR,ARI,4,8,13,98,47,14.7,48,4
45,Ty Montgomery GB,RB,GB,4,8,17,152,47.1,19.7,40,-5
46,Joe Mixon CIN,RB,CIN,4,6,22,89,47.9,14.7,41,-5
47,Greg Olsen CAR,TE,CAR,2,11,19,66,49.1,7.9,50,3
48,Drew Brees NO,QB,NO,1,5,37,212,49.5,26.5,42,-6
49,Tyreek Hill KC,WR,KC,4,10,12,76,49.7,12.3,49,0
50,Mark Ingram NO,RB,NO,4,5,28,73,50.9,10.5,55,5
51,Emmanuel Sanders DEN,WR,DEN,4,5,23,90,53.7,14,59,8
52,Jordan Reed WAS,TE,WAS,2,5,37,78,55,7.8,51,-1
53,Martavis Bryant PIT,WR,PIT,4,9,31,113,56.5,15.8,53,0
54,Sammy Watkins LAR,WR,LAR,4,8,27,96,56.6,16.9,58,4
55,Bilal Powell NYJ,RB,NYJ,4,11,31,104,56.6,11.2,60,5
56,Stefon Diggs MIN,WR,MIN,4,9,24,91,57.9,15.5,54,-2
57,C.J. Anderson DEN,RB,DEN,4,5,25,118,58.4,14.1,61,4
58,Jarvis Landry MIA,WR,MIA,4,11,27,98,58.7,17.7,45,-13
59,Jimmy Graham SEA,TE,SEA,3,6,45,82,59.7,8.4,57,-2
60,Kelvin Benjamin CAR,WR,CAR,4,11,24,121,60.7,16.2,52,-8
61,Ameer Abdullah DET,RB,DET,4,7,36,102,61.3,11,62,1
62,Russell Wilson SEA,QB,SEA,2,6,29,202,62.1,24.3,64,2
63,Matt Ryan ATL,QB,ATL,2,5,36,193,62.7,23.4,56,-7
64,Jamison Crowder WAS,WR,WAS,4,5,39,136,63.9,17.1,63,-1
